==== START logs for container kube-vip of pod kube-system/kube-vip-rv7cx ====
time="2021-12-11T06:23:41Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:23:44Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:23:47Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:23:51Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:23:54Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:23:57Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:24:00Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:24:03Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:24:06Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:24:09Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:24:12Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:24:15Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:24:18Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:24:21Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:24:24Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:24:27Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:24:30Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
